stt,Vaccine,TR1,TR2,TR3,TR4,TR5,TR6,PRC1,PRC2,PRC3,PRC4,PRC5,PRC6,PV1,PV2,PV3,PV4,PV5,PV6,SO1,SO2,SO3,SN1,SN2,SN3,INT1,INT2,INT3,GENDER,AGE,JOB,EDU,INCOME,,,,,,,
39,1,3,4,3,4,4,5,5,5,4,5,4,4,4,4,5,5,5,4,4,4,4,5,4,5,5,5,5,0,1,2,3,4,,,,,,,
40,1,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,2,2,,,,,,,
41,1,3,3,2,3,2,2,3,3,2,3,3,3,2,3,2,3,3,4,3,2,3,2,2,2,3,2,3,1,1,5,2,1,,,,,,,
42,1,4,4,4,4,4,4,5,5,3,4,3,3,5,5,5,5,5,5,5,4,3,3,3,1,5,5,5,0,3,2,2,2,,,,,,,
43,2,3,3,3,3,3,5,5,3,3,5,3,3,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,1,1,1,2,2,,,,,,,
44,1,5,4,5,4,4,3,4,4,3,4,4,4,4,4,3,5,5,5,4,3,4,3,3,3,2,4,5,0,1,1,2,2,,,,,,,
45,1,5,4,4,4,3,3,4,5,3,5,4,4,3,4,2,5,4,5,4,4,3,3,3,2,3,5,5,0,1,5,2,1,,,,,,,
46,3,3,3,3,4,2,2,4,4,4,4,4,2,3,3,1,1,2,2,3,3,2,3,3,3,1,1,2,0,1,1,2,2,,,,,,,
47,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,4,5,5,5,0,1,1,2,2,,,,,,,
48,2,4,3,4,4,3,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,3,3,3,3,3,4,4,1,1,1,2,2,,,,,,,
49,1,5,4,4,4,4,3,5,5,5,5,3,4,5,5,3,5,4,5,5,4,4,5,4,4,4,5,5,0,1,1,2,2,,,,,,,
50,2,4,4,3,5,4,3,4,3,3,5,3,4,4,3,4,4,4,4,3,4,4,4,3,2,5,5,5,0,1,5,2,2,,,,,,,
51,1,4,3,4,5,3,4,5,5,5,5,5,5,4,4,4,3,4,4,4,4,3,4,4,3,5,5,5,1,1,1,2,2,,,,,,,
52,1,5,4,5,5,4,4,3,4,4,5,3,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,1,1,2,2,,,,,,,
53,1,5,4,5,5,4,3,4,4,4,5,3,4,5,4,5,5,5,4,5,5,5,4,4,4,5,5,5,1,1,1,2,2,,,,,,,
54,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,,,,,,,
55,1,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,1,2,5,2,3,,,,,,,
56,2,4,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,2,5,5,5,0,1,1,2,2,,,,,,,
57,1,4,4,3,4,3,4,4,4,4,4,3,3,4,3,4,4,4,5,4,4,5,3,3,3,4,4,4,1,2,5,2,4,,,,,,,
58,1,5,5,5,5,4,4,5,2,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,3,,,,,,,
59,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,1,1,4,2,2,,,,,,,
60,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,,,,,,,
61,1,5,4,4,4,3,5,5,5,3,3,3,5,5,5,5,5,5,5,4,3,3,4,3,3,3,3,5,0,1,1,2,2,,,,,,,
62,1,4,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,0,1,5,2,4,,,,,,,
63,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,2,2,,,,,,,
64,1,3,5,3,5,5,4,5,5,3,5,5,4,4,2,5,5,5,5,3,3,3,5,4,3,5,5,5,1,1,1,2,2,,,,,,,
65,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,2,3,4,4,2,5,2,5,0,1,5,3,2,,,,,,,
66,1,3,3,3,3,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,0,1,5,2,2,,,,,,,
67,1,5,4,4,5,3,3,4,4,3,3,2,2,5,5,4,5,5,4,4,3,4,4,3,2,5,3,3,0,1,1,2,2,,,,,,,
68,4,3,3,3,5,3,3,2,3,3,2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,1,2,5,3,4,,,,,,,
69,2,5,4,4,4,3,5,5,5,4,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,1,1,5,3,4,,,,,,,
70,1,4,2,3,3,4,3,5,5,4,5,3,3,3,3,3,3,3,4,4,4,3,4,4,4,3,3,2,0,1,5,3,3,,,,,,,
